DRUG_ID,Drug_Name,N_Colon,N_Other,Mean_LN_IC50_Colon,Mean_LN_IC50_Other,Diff_Colon_vs_Other,MannWhitney_p,Bonferroni_Sig,Bonferroni_Threshold,LogP
1428,IAP_5620,45,669,5.486814133333334,4.837946460388639,0.6488676729446947,0.020188036403562936,False,0.00016949152542372882,1.6949059208071724
1913,AGI-5198,45,913,5.032141955555555,4.687934859802848,0.344207095752707,0.021877774590428906,False,0.00016949152542372882,1.6599968565730865
1585,BDF00022089a,45,672,4.669629022222223,4.367027977678571,0.30260104454365155,0.021885292539488285,False,0.00016949152542372882,1.6598476438218805
1730,PAK_5339,45,671,2.5841457111111112,2.273869335320417,0.3102763757906941,0.02193076827464809,False,0.00016949152542372882,1.6589461539314205
1814,Nelarabine,45,671,6.373481755555556,5.989550980625932,0.3839307749296239,0.02343596616586307,False,0.00016949152542372882,1.6301171376482029
1936,Savolitinib,45,912,3.116118177777778,2.72195435745614,0.394163820321638,0.02386456737784895,False,0.00016949152542372882,1.6222464342127154
1634,AGI-6780,47,846,4.708404042553192,4.324718399527186,0.3836856430260056,0.024266225464975935,False,0.00016949152542372882,1.6149977715550425
1023,GW441756,46,907,3.6962040000000007,3.4282945435501655,0.2679094564498352,0.024598521102906556,False,0.00016949152542372882,1.6090910024963723
1999,N25720-51-A1,41,701,3.8052211219512198,3.2519212767475034,0.5532998452037163,0.025987903171750714,False,0.00016949152542372882,1.585228760040142
1940,WIKI4,45,912,4.004460133333334,3.7210585416666664,0.28340159166666723,0.026451015589459156,False,0.00016949152542372882,1.5775576485274527
1007,Docetaxel,46,921,-3.831960086956522,-4.382608069489685,0.5506479825331634,0.027031170854992386,False,0.00016949152542372882,1.5681351424311527
1083,Crizotinib,47,919,2.1459660000000005,2.5818696724700763,-0.4359036724700758,0.0278610081990032,False,0.00016949152542372882,1.5550031719270814
2361,THR-102,42,689,5.298369952380951,4.9742354339622645,0.32413451841868657,0.02788458793140551,False,0.00016949152542372882,1.554635768975506
2046,MK-8776,42,910,3.715869476190476,3.0151320318681316,0.7007374443223444,0.028605332614992367,False,0.00016949152542372882,1.543552998011372
1072,Avagacestat,46,908,5.027199065217391,4.745540893171806,0.2816581720455851,0.03122555265172257,False,0.00016949152542372882,1.5054898664375884
1598,LGK974,47,917,4.549974574468084,4.222260320610687,0.3277142538573976,0.031539358186610765,False,0.00016949152542372882,1.5011471486370913
1911,Dactinomycin,45,897,-4.287592177777777,-4.815370684503902,0.5277785067261256,0.032553726219051615,False,0.00016949152542372882,1.487399293309245
1840,630600,45,672,2.8171299111111114,2.2305071651785715,0.5866227459325399,0.034079089093766016,False,0.00016949152542372882,1.4675120220872024
1996,MIM1,41,702,4.328377439024391,3.928475062678063,0.39990237634632786,0.03422717587848,False,0.00016949152542372882,1.4656289334940513
2112,VTP-A,40,697,2.664054375,2.395089144906743,0.268965230093257,0.03429706055237734,False,0.00016949152542372882,1.464743099799388
1085,Sorafenib,45,913,2.8497423777777784,2.530211542168675,0.31953083560910356,0.03647420448580229,False,0.00016949152542372882,1.4380141714343437
1593,Entinostat,47,851,2.4788669999999997,2.005543439482961,0.4733235605170387,0.03755355162354361,False,0.00016949152542372882,1.4253489833584563
1441,AZD2014,45,672,2.5963808444444445,2.106321217261905,0.4900596271825397,0.03914738581489586,False,0.00016949152542372882,1.4072972339654752
1782,GSK2830371A,45,672,5.553547755555556,5.154516595238095,0.39903116031746055,0.04021994110819793,False,0.00016949152542372882,1.3955585696518427
1259,Talazoparib,45,911,3.520357777777778,2.730086502744237,0.790271275033541,0.0404009402309568,False,0.00016949152542372882,1.393608527652645
1635,Picolinici-acid,47,846,5.5117925744680845,5.2553238392434976,0.2564687352245869,0.04115360076269792,False,0.00016949152542372882,1.3855921598938534
1039,SL0101,6,219,5.328359666666667,4.719699904109588,0.6086597625570782,0.04216320639823672,False,0.00016949152542372882,1.375066369614511
1011,Navitoclax,47,920,1.4961319148936172,1.7906218978260868,-0.29448998293246964,0.042781805284466554,False,0.00016949152542372882,1.3687408932441563
1821,765771,45,672,3.9288869111111113,3.566420543154762,0.36246636795634934,0.043049156718687136,False,0.00016949152542372882,1.3660353514346673
2110,GSK591,44,910,4.746965954545455,4.356749739560439,0.39021621498501524,0.04393045984280249,False,0.00016949152542372882,1.357234250726338
1825,Podophyllotoxin bromide,45,672,-0.05803264444444441,-0.4738345818452381,0.4158019374007937,0.0464517118511766,False,0.00016949152542372882,1.3329982766365223
1026,Tanespimycin,46,903,-0.5267974782608696,-0.058385842746400886,-0.46841163551446874,0.04752009961776794,False,0.00016949152542372882,1.3231226576017456
1933,P22077,45,913,4.840551711111112,4.3859671193866365,0.4545845917244753,0.05113780599599858,False,0.00016949152542372882,1.2912579087748983
1021,Axitinib,46,915,3.380244673913043,2.879628171584699,0.5006165023283438,0.05318489789458853,False,0.00016949152542372882,1.2742116701890296
1716,IRAK4_4710,45,672,5.072926955555556,4.863123244047619,0.20980371150793697,0.054589795966901715,False,0.00016949152542372882,1.2628885288963525
2438,ascorbate (vitamin C),42,690,10.688750166666665,10.231599949275362,0.45715021739130357,0.05968066693623691,False,0.00016949152542372882,1.224166332232622
1243,Piperlongumine,6,219,2.9078468333333336,2.2152786118721464,0.6925682214611872,0.06002377026776921,False,0.00016949152542372882,1.2216767287535313
1618,GSK2606414,47,839,4.038410063829787,3.7714404707985696,0.26696959303121703,0.062185541582976823,False,0.00016949152542372882,1.2063105789851616
1828,720427,45,672,4.026959533333333,3.820428267857143,0.20653126547618994,0.06272074023560253,False,0.00016949152542372882,1.202588824712323
1170,CCT-018159,6,219,4.605556666666666,3.583582662100457,1.021974004566209,0.0628581376180954,False,0.00016949152542372882,1.2016384905498463
1190,Gemcitabine,46,914,-0.1316979782608695,-0.7987446389496717,0.6670466606888023,0.06479799573806899,False,0.00016949152542372882,1.1884384270516064
1580,GSK2801,45,672,5.237417266666666,4.971175797619048,0.2662414690476185,0.07300957784252067,False,0.00016949152542372882,1.1366201627384183
2439,glutathione,42,690,9.406957023809523,9.157414485507246,0.24954253830227735,0.0767849481612646,False,0.00016949152542372882,1.114723904593062
2106,Uprosertib,40,696,2.399238825,2.8441941954022987,-0.4449553704022988,0.0777476115624187,False,0.00016949152542372882,1.1093129437955902
2362,THR-103,42,689,4.760777238095238,4.413664689404935,0.34711254869030306,0.08403503749782178,False,0.00016949152542372882,1.0755396018032826
1832,729189,45,672,4.082561488888889,3.9059581666666667,0.17660332222222186,0.08777060267043282,False,0.00016949152542372882,1.0566509195818303
1712,Eg5_9814,44,669,-2.534783840909091,-2.9599501061285496,0.42516626521945877,0.0893179798877066,False,0.00016949152542372882,1.0490611079644938
1401,AZD5438,45,672,2.694623311111111,2.3487579434523806,0.34586536765873044,0.09519296219741627,False,0.00016949152542372882,1.0213951586723513
2169,AZD6482,6,261,4.215093833333333,3.373599517241379,0.8414943160919544,0.10346449628675342,False,0.00016949152542372882,0.9852086522550277
1561,Taselisib,47,919,1.5085253191489358,1.7803195843307942,-0.27179426518185834,0.1052722275015892,False,0.00016949152542372882,0.9776861875388194
1583,GSK-LSD1,45,671,2.9131531333333336,2.6286206348733234,0.28453249846001016,0.10813629117964019,False,0.00016949152542372882,0.9660285297838663
1853,OF-1,47,847,4.356431957446808,4.108346752066115,0.24808520538069256,0.11497393773013496,False,0.00016949152542372882,0.9394005942790118
2157,A-366,42,699,5.159604476190476,4.85961504434907,0.29998943184140625,0.11846858937672121,False,0.00016949152542372882,0.9263967827226008
1624,I-BET-762,47,846,3.58822314893617,3.1554344101654843,0.43278873877068547,0.12370650561349476,False,0.00016949152542372882,0.9076074606154265
1054,Palbociclib,47,921,3.2093701276595743,3.4845006145494026,-0.27513048688982833,0.12410793113889795,False,0.00016949152542372882,0.9062004639501247
1997,WEHI-539,46,916,4.089436434782607,3.657847594978166,0.4315888398044412,0.12655053202818511,False,0.00016949152542372882,0.8977360246944325
1019,Bosutinib,46,903,2.987751891304348,2.599840668881506,0.3879112224228418,0.12849299799627018,False,0.00016949152542372882,0.8911205378146771
2149,CT7033-2,42,699,1.7419693095238096,1.4401046652360514,0.30186464428775817,0.13217804257304752,False,0.00016949152542372882,0.8788406838925726
2154,GSK-LSD1-2HCl ,42,697,2.8879857857142857,2.6169198450502154,0.2710659406640703,0.14127474385918978,False,0.00016949152542372882,0.8499354714350636
1816,Fulvestrant,45,672,4.872647088888889,4.600859275297619,0.2717878135912697,0.1435522640285887,False,0.00016949152542372882,0.8429899536560213
1030,KU-55933,46,909,5.30767256521739,5.0275368855885585,0.2801356796288319,0.14538083327727885,False,0.00016949152542372882,0.8374928462321382
1008,Methotrexate,46,835,-0.16953328260869563,0.38094680718562873,-0.5504800897943244,0.1457052268532398,False,0.00016949152542372882,0.8365248685951178
1073,5-Fluorouracil,47,921,4.146070127659574,4.404790389793702,-0.258720262134128,0.15872043154284265,False,0.00016949152542372882,0.7993671643908764
1834,743380,45,672,2.1529401777777775,1.9591919806547617,0.19374819712301572,0.16593826187770722,False,0.00016949152542372882,0.7800534632435621
1069,EHT-1864,46,897,3.866656847826087,3.6685742965440356,0.19808255128205143,0.1677195549509658,False,0.00016949152542372882,0.7754162986808005
1839,615590,45,672,4.055749933333333,3.880226517857143,0.17552341547619,0.17099357711505725,False,0.00016949152542372882,0.7670202023322686
1918,AZD8186,45,913,3.4134402222222224,3.121021265060241,0.2924189571619813,0.1752895981384539,False,0.00016949152542372882,0.7562438546141571
2174,IOX2,6,219,3.078984333333333,2.323076936073059,0.7559073972602741,0.17718339027756067,False,0.00016949152542372882,0.7515769926572031
1785,LMB_AB3,45,672,5.257017666666667,5.0366241770833335,0.2203934895833335,0.17927251383632725,False,0.00016949152542372882,0.7464862916105202
1031,Elesclomol,6,219,-0.639769,-1.7164197305936073,1.0766507305936073,0.18351332757821812,False,0.00016949152542372882,0.7363323898124736
1827,Dihydrorotenone,45,670,0.6086282444444445,0.7970488253731343,-0.18842058092868974,0.2006236159228355,False,0.00016949152542372882,0.6976179463838802
1626,OTX015,47,846,2.6955401063829787,2.278695307328605,0.41684479905437355,0.20126928007226386,False,0.00016949152542372882,0.6962225068461255
1819,Docetaxel,44,626,-1.5850365454545454,-2.0950467012779552,0.5100101558234098,0.2031146929804989,False,0.00016949152542372882,0.6922586593152847
1449,AZD1208,45,671,5.48422828888889,5.221545456035767,0.26268283285312233,0.21020930479901578,False,0.00016949152542372882,0.6773480640764272
1378,Bleomycin (50 uM),42,689,3.848783690476191,3.3954914208998543,0.4532922695763366,0.21413658291947146,False,0.00016949152542372882,0.6693091318514978
2170,AT13148,44,910,3.8171838636363633,3.5251174483516485,0.2920664152847148,0.21456154565371366,False,0.00016949152542372882,0.668448110920231
2173,PFI-1,46,900,4.2497773695652175,4.044512551111111,0.20526481845410682,0.2176128102812256,False,0.00016949152542372882,0.6623155424725137
1549,Sapitinib,47,919,3.364464446808512,3.7559103645266596,-0.39144591771814774,0.22005394333633088,False,0.00016949152542372882,0.6574708445340549
1866,BDP-00009066,41,702,2.736339829268293,2.524585323361823,0.2117545059064696,0.2202682500712304,False,0.00016949152542372882,0.6570480984579132
2038,UNC0638,42,690,4.524079357142857,4.112198195652174,0.4118811614906832,0.2223776547354651,False,0.00016949152542372882,0.6529088542870786
1249,BMS-345541,47,845,3.5350876595744682,3.263654062721893,0.2714335968525754,0.22788215927775624,False,0.00016949152542372882,0.6422896740759353
1831,L-Oxonoreleagnine,45,672,3.9072723555555564,3.7829198735119047,0.12435248204365168,0.22946138331621146,False,0.00016949152542372882,0.6392903925834493
1051,Alisertib,47,903,2.069450191489361,1.5636647364341085,0.5057854550552525,0.23157512359162913,False,0.00016949152542372882,0.6353080954935845
1738,IGF1R_3801,45,671,1.9886178888888884,1.6610868301043218,0.32753105878456656,0.24851169736096668,False,0.00016949152542372882,0.6046531643561641
1502,Bicalutamide,6,219,5.087629,4.674657242009132,0.41297175799086805,0.26103306943982224,False,0.00016949152542372882,0.583304469805527
1838,Sinularin,45,672,3.7978701777777775,3.641932464285714,0.15593771349206342,0.2733249645983876,False,0.00016949152542372882,0.5633206994739256
1052,RO-3306,46,909,3.766098043478261,3.494732905390539,0.271365138087722,0.2810373012767827,False,0.00016949152542372882,0.5512360336054019
1004,Vinblastine,41,700,-3.09087,-3.5172271785714284,0.42635717857142863,0.2822263549577406,False,0.00016949152542372882,0.5494024332525338
1926,GNE-317,45,899,0.9559809333333333,0.6681243670745273,0.28785656625880607,0.28231363700423706,False,0.00016949152542372882,0.5492681429914208
1815,Dacarbazine,45,672,5.761173755555555,5.58953012797619,0.1716436275793649,0.2892569013440134,False,0.00016949152542372882,0.5387162704752021
1826,50869,45,672,2.795596911111111,2.5855069880952377,0.21008992301587348,0.2971083875974512,False,0.00016949152542372882,0.5270850875572546
1932,NVP-ADW742,45,913,2.6132657555555556,2.8955161872946333,-0.2822504317390777,0.33140007467296617,False,0.00016949152542372882,0.4796473980589467
1835,Elephantin,45,672,3.7445797111111108,3.5781572425595236,0.16642246855158715,0.33586657514569407,False,0.00016949152542372882,0.4738332142353659
1924,Ipatasertib,45,913,3.2995503111111115,3.409049148959474,-0.10949883784836256,0.33942938381029175,False,0.00016949152542372882,0.4692505642744052
1806,Oxaliplatin,45,672,4.795959622222222,4.9478024821428574,-0.1518428599206354,0.3411190582614526,False,0.00016949152542372882,0.4670940159588742
2499,N-acetyl cysteine,42,693,9.93568238095238,9.998471717171716,-0.06278933621933547,0.3466173352789208,False,0.00016949152542372882,0.46014972082662836
1922,Cediranib,45,913,2.3433370000000004,2.267571704271632,0.07576529572836854,0.34729919701830225,False,0.00016949152542372882,0.4592962208093746
1824,123138,45,672,2.989868511111111,2.8926613764880953,0.09720713462301589,0.35255041243452245,False,0.00016949152542372882,0.4527787729230259
1912,Afuresertib,45,912,2.3448480000000003,2.405397393640351,-0.060549393640350946,0.35433875755519295,False,0.00016949152542372882,0.4505813419604535
1149,TW 37,25,351,1.0576804800000001,1.311796150997151,-0.2541156709971508,0.36061573899285704,False,0.00016949152542372882,0.44295532251494096
1006,Cytarabine,41,702,1.9513728292682928,1.5325065826210829,0.41886624664720995,0.36643402896064803,False,0.00016949152542372882,0.4360042022978419
1059,AZD8055,46,699,0.1935450434782608,-0.04975803147353363,0.24330307495179443,0.3665956646276991,False,0.00016949152542372882,0.4358126753241579
1734,VSP34_8731,45,672,2.5635371555555557,2.3672224315476194,0.19631472400793637,0.3862365672014191,False,0.00016949152542372882,0.4131466114939563
1037,BX795,6,219,3.031839833333333,2.677322611872146,0.35451722146118714,0.40191862683289764,False,0.00016949152542372882,0.39586186605656903
1179,MK-1775,47,920,0.40543631914893613,0.6483137891304348,-0.24287746998149867,0.41587427996114146,False,0.00016949152542372882,0.3810379380538063
1915,AZD3759,46,920,2.328096956521739,2.521386111956522,-0.19328915543478287,0.42084792887518796,False,0.00016949152542372882,0.3758748057823455
2039,AGK2,46,887,3.3590856739130435,3.25960499210823,0.09948068180481329,0.421811996927685,False,0.00016949152542372882,0.37488107247372543
